Year,Scenario,ImportCost_EURperMWh,ImportCost_EURperKgH2,SolverProblemCode,EuropeanOffshoreSupply_TWh,InternationalImport_TWh,TotalCarbonReduction_Mt,EuropeanOffshoreCarbonContribution_Mt,TotalCost_BnEUR,ImportCost_BnEUR,TopGrossExporter,TopGrossExport_TWh,TopNetExporter,TopNetExport_TWh,IrelandNetExport_TWh,UKNetExport_TWh,IrelandCarbonContribution_Mt,UKCarbonContribution_Mt
2050,Outside option 4.7 EUR/kg-H2,141.0014100141,4.7,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,81.122210339988,8.81676998589445,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 4.8 EUR/kg-H2,144.0014400144,4.8,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.8 EUR/kg-H2,144.0014400144,4.8,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,62.9570295772682,16.7651820525378,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.8 EUR/kg-H2,144.0014400144,4.8,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,81.3098011907517,9.00436083665816,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 4.9 EUR/kg-H2,147.0014700147,4.9,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 4.9 EUR/kg-H2,147.0014700147,4.9,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,63.3063042033627,17.1144566786324,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 4.9 EUR/kg-H2,147.0014700147,4.9,0,766.620127791916,62.5704660224452,175.333290804074,152.311480082192,81.4977570477603,9.1979504848043,GB,163.59894484626,GB,162.141022175418,160.99070785726,162.141022175418,32.9315001557375,53.7313710512695
2030,Outside option 5 EUR/kg-H2,150.001500015,5,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 5 EUR/kg-H2,150.001500015,5,0,494.894607535519,116.423711116092,129.660618803292,97.7566250764744,63.6555788294573,17.4637313047269,GB,129.631616540512,GB,122.081616540512,82.6090484399419,122.081616540512,17.1268115911085,38.6420000750213
2050,Outside option 5 EUR/kg-H2,150.001500015,5,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,81.6849828922791,9.37954253818559,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 5.1 EUR/kg-H2,153.0015300153,5.1,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 5.1 EUR/kg-H2,153.0015300153,5.1,0,494.894607535519,116.360794716993,129.668356210684,98.5136587086293,64.0102718132129,17.8033796254962,GB,129.631616540512,GB,122.081616540512,82.7110426541523,122.081616540512,17.1470064455222,38.6420000750213
2050,Outside option 5.1 EUR/kg-H2,153.0015300153,5.1,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,81.8725737430428,9.5671333889493,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 5.2 EUR/kg-H2,156.0015600156,5.2,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 5.2 EUR/kg-H2,156.0015600156,5.2,0,494.894607535519,116.360794716993,129.668356210684,98.5136587086293,64.3593576882227,18.152465500506,GB,129.631616540512,GB,122.081616540512,82.7110426541523,122.081616540512,17.1470064455222,38.6420000750213
2050,Outside option 5.2 EUR/kg-H2,156.0015600156,5.2,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,82.0601645938066,9.75472423971301,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 5.3 EUR/kg-H2,159.0015900159,5.3,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 5.3 EUR/kg-H2,159.0015900159,5.3,0,494.894607535519,116.360794716993,129.668356210684,98.5136587086293,64.7084435632324,18.5015513755157,GB,129.631616540512,GB,122.081616540512,82.7110426541523,122.081616540512,17.1470064455222,38.6420000750213
2050,Outside option 5.3 EUR/kg-H2,159.0015900159,5.3,0,766.620127791916,62.5704660224452,175.333290804074,152.311480082192,82.2486101485606,9.94880358560465,GB,163.59894484626,GB,162.141022175418,160.99070785726,162.141022175418,32.9315001557375,53.7313710512695
2030,Outside option 5.4 EUR/kg-H2,162.0016200162,5.4,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
2040,Outside option 5.4 EUR/kg-H2,162.0016200162,5.4,0,494.894607535519,116.360794716993,129.668356210684,98.5136587086293,65.0575294382421,18.8506372505254,GB,129.631616540512,GB,122.081616540512,82.7110426541523,122.081616540512,17.1470064455222,38.6420000750213
2050,Outside option 5.4 EUR/kg-H2,162.0016200162,5.4,0,766.620127791916,62.529658285068,175.33494031878,152.623167313375,82.435346295334,10.1299059412404,GB,162.141022175418,GB,162.141022175418,161.039846476994,162.141022175418,32.9412296024448,54.0333288357456
2030,Outside option 5.5 EUR/kg-H2,165.0016500165,5.5,0,213.41694219492,0,43.4568358267357,43.4568358267357,19.4242524773405,0,GB,78.2338408083436,GB,78.2338408083436,14.1235735287511,78.2338408083436,3.35210436136006,20.8998523286281
